=== TRAIN SPLIT ===
Number of subject folders: 710

s0622: t1=40, t2=40, total=80
s0832: t1=33, t2=33, total=66
s0802: t1=33, t2=33, total=66
s0808: t1=45, t2=45, total=90
s0751: t1=48, t2=48, total=96
s0726: t1=55, t2=55, total=110
s0830: t1=42, t2=42, total=84
s0714: t1=45, t2=45, total=90
s0763: t1=44, t2=44, total=88
s0787: t1=37, t2=37, total=74
s0769: t1=42, t2=42, total=84
s0811: t1=43, t2=43, total=86
s0748: t1=41, t2=41, total=82
s0742: t1=40, t2=40, total=80
s0735: t1=41, t2=41, total=82
s0829: t1=36, t2=36, total=72
s0823: t1=42, t2=42, total=84
s0794: t1=28, t2=28, total=56
s0770: t1=40, t2=40, total=80
s0793: t1=35, t2=35, total=70
s0799: t1=39, t2=39, total=78
s0777: t1=40, t2=40, total=80
s0824: t1=46, t2=46, total=92
s0738: t1=44, t2=44, total=88
s0732: t1=25, t2=25, total=50
s0745: t1=35, t2=35, total=70
s0816: t1=48, t2=48, total=96
s0764: t1=37, t2=37, total=74
s0713: t1=45, t2=45, total=90
s0719: t1=40, t2=40, total=80
s0780: t1=39, t2=39, total=78
s0721: t1=45, t2=45, total=90
s0756: t1=42, t2=42, total=84
s0805: t1=49, t2=49, total=98
s0758: t1=33, t2=33, total=66
s0725: t1=50, t2=50, total=100
s0752: t1=29, t2=29, total=58
s0801: t1=42, t2=42, total=84
s0784: t1=33, t2=33, total=66
s0760: t1=38, t2=38, total=76
s0717: t1=40, t2=40, total=80
s0833: t1=36, t2=36, total=72
s0736: t1=50, t2=50, total=100
s0741: t1=40, t2=40, total=80
s0812: t1=42, t2=42, total=84
s0818: t1=38, t2=38, total=76
s0773: t1=40, t2=40, total=80
s0779: t1=42, t2=42, total=84
s0797: t1=38, t2=38, total=76
s0820: t1=42, t2=42, total=84
s0827: t1=43, t2=43, total=86
s0774: t1=38, t2=38, total=76
s0790: t1=40, t2=40, total=80
s0815: t1=36, t2=36, total=72
s0746: t1=30, t2=30, total=60
s0731: t1=42, t2=42, total=84
s0783: t1=35, t2=35, total=70
s0767: t1=35, t2=35, total=70
s0789: t1=30, t2=30, total=60
s0806: t1=28, t2=28, total=56
s0728: t1=40, t2=40, total=80
s0755: t1=26, t2=26, total=52
s0722: t1=27, t2=27, total=54

TOTAL IMAGES in test: 9504

========================================
